date,time,away_team,spieltag,weekday_sin,weekday_cos,hour,month_sin,is_dec_holiday,holiday_score,spieltag,game_progress,opponent_attendance,distance_log,is_top_opponent,sunday_boost,sunday_opp_adj,sunday_top
14.09.2025,16:30,Nürnberg Ice Tigers,2,-0.7818314824680299,0.6234898018587334,16.5,-0.8660254037844384,0,0,2,0.0,1385.0,6.137727054086234,0,1.790562378797673,2.8096061479346783,0.0
26.09.2025,19:30,Schwenninger Wild Wings,5,-0.433883739117558,-0.9009688679024191,19.5,-0.8660254037844384,0,0,5,0.061224489795918366,1153.5,6.45833828334479,0,0.0,0.0,0.0
05.10.2025,14:00,Pinguins Bremerhaven,8,-0.7818314824680299,0.6234898018587334,14.0,-1.0,0,1,8,0.12244897959183673,2324.0,5.529429087511423,1,3.004524886877828,2.0,2.0
12.10.2025,16:30,Straubing Tigers,10,-0.7818314824680299,0.6234898018587334,16.5,-1.0,0,1,10,0.16326530612244897,1127.0,6.327936783729195,0,1.4570135746606334,1.9659724259313582,0.0
19.10.2025,14:00,Adler Mannheim,12,-0.7818314824680299,0.6234898018587334,14.0,-1.0,0,1,12,0.20408163265306123,1914.5,6.091309882077698,0,2.475113122171946,1.9681315857106143,0.0
24.10.2025,19:30,Iserlohn Roosters,13,-0.433883739117558,-0.9009688679024191,19.5,-1.0,0,0,13,0.22448979591836735,1908.0,5.717027701406222,0,0.0,0.0,0.0
28.10.2025,19:30,EHC Red Bull München,15,0.7818314824680298,0.6234898018587336,19.5,-1.0,0,0,15,0.2653061224489796,1580.5,6.396929655216146,0,0.0,0.0,0.0
30.10.2025,19:30,Augsburger Panther,16,0.43388373911755823,-0.900968867902419,19.5,-1.0,0,0,16,0.2857142857142857,1358.5,6.376726947898627,0,0.0,0.0,0.0
14.11.2025,19:30,Kölner Haie,18,-0.433883739117558,-0.9009688679024191,19.5,-0.8660254037844386,0,0,18,0.32653061224489793,2165.5,5.929589143389895,1,0.0,0.0,0.0
21.11.2025,19:30,ERC Ingolstadt,20,-0.433883739117558,-0.9009688679024191,19.5,-0.8660254037844386,0,0,20,0.3673469387755102,1513.0,6.26530121273771,0,0.0,0.0,0.0
28.11.2025,19:30,Eisbären Berlin,23,-0.433883739117558,-0.9009688679024191,19.5,-0.8660254037844386,0,0,23,0.42857142857142855,2412.0,5.429345628954441,1,0.0,0.0,0.0
05.12.2025,19:30,Löwen Frankfurt,25,-0.433883739117558,-0.9009688679024191,19.5,-0.5000000000000004,0,0,25,0.46938775510204084,1355.5,5.910796644040527,0,0.0,0.0,0.0
12.12.2025,19:30,Pinguins Bremerhaven,27,-0.433883739117558,-0.9009688679024191,19.5,-0.5000000000000004,0,0,27,0.5102040816326531,2324.0,5.529429087511423,1,0.0,0.0,0.0
21.12.2025,14:00,Adler Mannheim,30,-0.7818314824680299,0.6234898018587334,14.0,-0.5000000000000004,1,2,30,0.5714285714285714,1914.5,6.091309882077698,0,2.475113122171946,1.9681315857106143,0.0
23.12.2025,19:30,Iserlohn Roosters,31,0.7818314824680298,0.6234898018587336,19.5,-0.5000000000000004,1,2,31,0.5918367346938775,1908.0,5.717027701406222,0,0.0,0.0,0.0
30.12.2025,19:30,Straubing Tigers,34,0.7818314824680298,0.6234898018587336,19.5,-0.5000000000000004,1,2,34,0.6530612244897959,1127.0,6.327936783729195,0,0.0,0.0,0.0
02.01.2026,19:30,EHC Red Bull München,35,-0.433883739117558,-0.9009688679024191,19.5,0.0,0,2,35,0.673469387755102,1580.5,6.396929655216146,0,0.0,0.0,0.0
09.01.2026,19:30,Augsburger Panther,38,-0.433883739117558,-0.9009688679024191,19.5,0.0,0,0,38,0.7346938775510204,1358.5,6.376726947898627,0,0.0,0.0,0.0
11.01.2026,14:00,Löwen Frankfurt,39,-0.7818314824680299,0.6234898018587334,14.0,0.0,0,0,39,0.7551020408163265,1355.5,5.910796644040527,0,1.7524240465416936,2.07704947964214,0.0
18.01.2026,14:00,Eisbären Berlin,41,-0.7818314824680299,0.6234898018587334,14.0,0.0,0,0,41,0.7959183673469388,2412.0,5.429345628954441,1,3.1182934712346477,2.5556228897930917,2.0
25.02.2026,19:30,Schwenninger Wild Wings,45,0.9749279121818236,-0.22252093395631434,19.5,0.49999999999999994,0,0,45,0.8775510204081632,1153.5,6.45833828334479,0,0.0,0.0,0.0
04.03.2026,19:30,ERC Ingolstadt,48,0.9749279121818236,-0.22252093395631434,19.5,0.8660254037844386,0,0,48,0.9387755102040817,1513.0,6.26530121273771,0,0.0,0.0,0.0
08.03.2026,16:30,Nürnberg Ice Tigers,50,-0.7818314824680299,0.6234898018587334,16.5,0.8660254037844386,0,0,50,0.9795918367346939,1385.0,6.137727054086234,0,1.790562378797673,2.8096061479346783,0.0
13.03.2026,19:30,Kölner Haie,51,-0.433883739117558,-0.9009688679024191,19.5,0.8660254037844386,0,0,51,1.0,2165.5,5.929589143389895,1,0.0,0.0,0.0
